Fund Name,Plan,Category,VR ID,Alpha,Beta,Sharpe,Standard Deviation,Mean Return,Sortino
ABSL Pharma & Healthcare Dir,Direct,Sectoral-Pharma,40007,0.03,0.94,1.17,15.79,24.56,2.01
ABSL Pharma & Healthcare Reg,Regular,Sectoral-Pharma,40005,-1.30,0.93,1.09,15.75,23.19,1.87
ABSL PSU Equity Dir,Direct,Thematic-Energy,40480,-1.30,0.95,1.22,21.09,31.87,2.09
ABSL PSU Equity Reg,Regular,Thematic-Energy,40478,-2.60,0.95,1.16,21.06,30.53,1.98
ABSL Retirement 30s Dir,Direct,Flexi Cap,39181,1.03,0.96,0.91,12.82,17.78,1.29
ABSL Retirement 30s Reg,Regular,Flexi Cap,39179,-0.30,0.96,0.81,12.81,16.44,1.15
ABSL Silver ETF,Regular,Thematic-PSU,42016,-1.51,0.98,1.17,41.02,54.22,2.54
ABSL Silver ETF,Direct,Thematic-PSU,42016,-1.51,0.98,1.17,41.02,54.22,2.54
ABSL Silver ETF FoF Dir,Direct,Thematic-PSU,42019,4.26,0.83,1.31,35.10,52.21,3.17
ABSL Silver ETF FoF Reg,Regular,Thematic-PSU,42017,3.83,0.83,1.30,35.09,51.77,3.14
ABSL Small Cap Dir,Direct,Small Cap,15935,1.04,0.89,0.77,17.75,19.83,1.17
ABSL Small Cap Reg,Regular,Small Cap,5006,0.02,0.89,0.72,17.73,18.79,1.09
ABSL Special Opportunities Dir,Direct,Thematic,41143,4.64,0.98,1.20,12.90,21.57,1.87
ABSL Special Opportunities Reg,Regular,Thematic,41141,3.46,0.98,1.11,12.89,20.39,1.72
ABSL US Equity Passive FoF Dir,Direct,International,41797,--,--,1.40,16.19,28.83,2.19
ABSL US Equity Passive FoF Reg,Regular,International,41795,--,--,1.38,16.19,28.48,2.16
ABSL Value Dir,Direct,Value Oriented,15879,2.63,1.16,0.98,15.79,21.59,1.39
ABSL Value Reg,Regular,Value Oriented,6778,1.77,1.16,0.93,15.77,20.72,1.31
Aditya Birla SL BSE Top 10 Banks ETF,Regular,Sectoral-Auto,45861,--,--,--,--,--,--
Aditya Birla SL BSE Top 10 Banks ETF,Direct,Sectoral-Auto,45861,--,--,--,--,--,--
Aditya Birla SL MSCI India ETF,Regular,Large & Mid Cap,45843,--,--,--,--,--,--
Aditya Birla SL MSCI India ETF,Direct,Large & Mid Cap,45843,--,--,--,--,--,--
Angel One Nifty 50 ETF,Regular,Large Cap,45159,--,--,--,--,--,--
Angel One Nifty 50 ETF,Direct,Large Cap,45159,--,--,--,--,--,--
Angel One Nifty 50 Index Dir,Direct,Large Cap,45161,--,--,--,--,--,--
Angel One Nifty 50 Index Reg,Regular,Large Cap,45160,--,--,--,--,--,--
Angel One Nifty Total Market ETF,Regular,Flexi Cap,44964,--,--,--,--,--,--
Angel One Nifty Total Market ETF,Direct,Flexi Cap,44964,--,--,--,--,--,--
Angel One Nifty Total Market Index Dir,Direct,Flexi Cap,44963,--,--,--,--,--,--
Angel One Nifty Total Market Index Reg,Regular,Flexi Cap,44962,--,--,--,--,--,--
Angel One Nifty Total Market Momentum Quality 50 ETF,Regular,Flexi Cap,45605,--,--,--,--,--,--
Angel One Nifty Total Market Momentum Quality 50 ETF,Direct,Flexi Cap,45605,--,--,--,--,--,--
Angel One Nifty Total Market Momentum Quality 50 Index Dir,Direct,Flexi Cap,45607,--,--,--,--,--,--
Angel One Nifty Total Market Momentum Quality 50 Index Reg,Regular,Flexi Cap,45606,--,--,--,--,--,--
Angel One Silver ETF,Regular,Thematic-PSU,45828,--,--,--,--,--,--
Angel One Silver ETF,Direct,Thematic-PSU,45828,--,--,--,--,--,--
Angel One Silver ETF FoF Dir,Direct,Thematic-PSU,45827,--,--,--,--,--,--
Angel One Silver ETF FoF Reg,Regular,Thematic-PSU,45826,--,--,--,--,--,--
Axis BSE India Sector Leaders Index Dir,Direct,Thematic,45782,--,--,--,--,--,--
Axis BSE India Sector Leaders Index Reg,Regular,Thematic,45781,--,--,--,--,--,--
Axis BSE Sensex ETF,Regular,Large Cap,43285,--,--,--,--,--,--
Axis BSE Sensex ETF,Direct,Large Cap,43285,--,--,--,--,--,--
Axis BSE Sensex Index Dir,Direct,Large Cap,44150,--,--,--,--,--,--
Axis BSE Sensex Index Reg,Regular,Large Cap,44148,--,--,--,--,--,--
Axis Consumption Dir,Direct,Thematic-Infrastructure,44466,--,--,--,--,--,--
Axis Consumption Reg,Regular,Thematic-Infrastructure,44464,--,--,--,--,--,--
Axis ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15688,0.41,0.89,0.83,12.27,16.35,1.43
Axis ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),10826,-0.33,0.89,0.77,12.27,15.60,1.33
Axis ESG Integration Strategy Dir,Direct,Thematic-ESG,40536,-1.79,0.93,0.61,11.74,13.25,0.91
Axis ESG Integration Strategy Reg,Regular,Thematic-ESG,40534,-2.77,0.93,0.53,11.72,12.27,0.79
Axis Flexi Cap Dir,Direct,Flexi Cap,34711,0.02,0.96,0.83,12.85,16.79,1.09
Axis Flexi Cap Reg,Regular,Flexi Cap,34709,-0.99,0.96,0.75,12.82,15.75,0.99
Axis Focused Dir,Direct,Flexi Cap,15684,-2.76,0.93,0.58,12.82,13.57,0.97
Axis Focused Reg,Regular,Flexi Cap,14951,-3.69,0.92,0.51,12.81,12.64,0.85
Axis Global Equity Alpha FoF Dir,Direct,International,41100,--,--,1.32,11.35,21.07,1.94
Axis Global Equity Alpha FoF Reg,Regular,International,41098,--,--,1.25,11.35,20.24,1.83
Axis Global Innovation FoF Dir,Direct,International,41496,--,--,0.98,14.63,20.48,1.51
Axis Global Innovation FoF Reg,Regular,International,41494,--,--,0.92,14.59,19.56,1.41
Axis Greater China Equity FoF Dir,Direct,International,41287,--,--,0.49,19.52,15.68,1.04
Axis Greater China Equity FoF Reg,Regular,International,41285,--,--,0.44,19.56,14.63,0.92
Axis Large & Mid Cap Dir,Direct,Large & Mid Cap,37839,4.76,0.88,1.19,12.06,20.46,1.58
Axis Large & Mid Cap Reg,Regular,Large & Mid Cap,37837,3.65,0.88,1.10,12.04,19.32,1.46
Axis Large Cap Dir,Direct,Large Cap,15682,-0.77,0.90,0.72,11.05,14.03,1.04
Axis Large Cap Reg,Regular,Large Cap,10780,-1.67,0.90,0.64,11.04,13.13,0.92
Axis Midcap Dir,Direct,Mid Cap,15690,0.84,0.83,1.04,14.14,20.76,1.35
Axis Midcap Reg,Regular,Mid Cap,12052,-0.20,0.83,0.96,14.13,19.70,1.25
Axis Momentum Dir,Direct,Thematic,44768,--,--,--,--,--,--
Axis Momentum Reg,Regular,Thematic,44766,--,--,--,--,--,--
Axis Multi Factor Passive FoF Dir,Direct,Thematic,42080,-0.85,0.97,0.79,12.51,15.94,0.97
Axis Multi Factor Passive FoF Reg,Regular,Thematic,42078,-1.21,0.97,0.76,12.53,15.60,0.94
Axis Multicap Dir,Direct,Multi Cap,41885,N/A,N/A,N/A,N/A,N/A,N/A
Axis Multicap Reg,Regular,Multi Cap,41883,4.19,0.90,1.16,13.56,21.80,1.46
Axis NASDAQ 100 US Specific Equity Passive FoF Dir,Direct,International,42633,--,--,1.42,15.63,28.26,2.19
Axis NASDAQ 100 US Specific Equity Passive FoF Reg,Regular,International,42631,--,--,1.39,15.62,27.88,2.21
Axis Nifty 100 Index Dir,Direct,Large Cap,40298,-0.25,1.00,0.79,11.81,15.45,1.13
Axis Nifty 100 Index Reg,Regular,Large Cap,40296,-0.95,1.00,0.73,11.81,14.75,1.04
Axis Nifty 50 ETF,Regular,Large Cap,34322,-0.89,0.94,0.73,11.22,14.29,1.15
Axis Nifty 50 ETF,Direct,Large Cap,34322,-0.89,0.94,0.73,11.22,14.29,1.15
Axis Nifty 50 Index Dir,Direct,Large Cap,41860,-1.02,0.94,0.72,11.18,14.13,1.13
Axis Nifty 50 Index Reg,Regular,Large Cap,41858,-1.31,0.94,0.69,11.18,13.84,1.09
Axis Nifty 500 Index Dir,Direct,Flexi Cap,44413,--,--,--,--,--,--
Axis Nifty 500 Index Reg,Regular,Flexi Cap,44412,--,--,--,--,--,--
Axis Nifty Bank ETF,Regular,Sectoral-Auto,41162,-0.02,1.00,0.74,12.07,14.99,1.41
Axis Nifty Bank ETF,Direct,Sectoral-Auto,41162,-0.02,1.00,0.74,12.07,14.99,1.41
Axis Nifty Bank Index Dir,Direct,Sectoral-Auto,44321,--,--,--,--,--,--
Axis Nifty Bank Index Reg,Regular,Sectoral-Auto,44319,--,--,--,--,--,--
Axis NIFTY Healthcare ETF,Regular,Sectoral-Pharma,41481,-1.17,1.00,1.11,16.67,24.63,1.86
Axis NIFTY Healthcare ETF,Direct,Sectoral-Pharma,41481,-1.17,1.00,1.11,16.67,24.63,1.86
Axis NIFTY India Consumption ETF,Regular,Thematic-Infrastructure,41685,0.02,0.82,0.81,14.29,17.70,0.99
Axis NIFTY India Consumption ETF,Direct,Thematic-Infrastructure,41685,0.02,0.82,0.81,14.29,17.70,0.99
Axis NIFTY IT ETF,Direct,Sectoral-Technology,41382,0.56,1.01,-0.03,22.39,5.45,-0.04
Axis Nifty IT Index Dir,Direct,Sectoral-Technology,43614,--,--,--,--,--,--
Axis Nifty Midcap 50 Index Dir,Direct,Mid Cap,42158,1.30,1.02,1.11,16.50,24.43,1.51
Axis Nifty Midcap 50 Index Reg,Regular,Mid Cap,42156,0.55,1.02,1.07,16.48,23.68,1.45
Axis Nifty Next 50 Index Dir,Direct,Large Cap,41946,4.55,1.25,1.01,16.50,22.72,1.33
Axis Nifty Next 50 Index Reg,Regular,Large Cap,41944,3.84,1.25,0.96,16.50,22.01,1.27
Axis Nifty Smallcap 50 Index Dir,Direct,Small Cap,42118,4.60,1.02,0.95,20.13,25.17,1.52
Axis Nifty Smallcap 50 Index Reg,Regular,Small Cap,42116,3.87,1.02,0.91,20.11,24.43,1.47
Axis Nifty500 Momentum 50 Index Dir,Direct,Flexi Cap,44905,--,--,--,--,--,--
Axis Nifty500 Momentum 50 Index Reg,Regular,Flexi Cap,44904,--,--,--,--,--,--
Axis Nifty500 Quality 50 Index Dir,Direct,Flexi Cap,45468,--,--,--,--,--,--
Axis Nifty500 Quality 50 Index Reg,Regular,Flexi Cap,45467,--,--,--,--,--,--
Axis Nifty500 Value 50 ETF,Regular,Value Oriented,45050,--,--,--,--,--,--
Axis Nifty500 Value 50 ETF,Direct,Value Oriented,45050,--,--,--,--,--,--
Axis Nifty500 Value 50 Index Dir,Direct,Value Oriented,44613,--,--,--,--,--,--
Axis Nifty500 Value 50 Index Reg,Regular,Value Oriented,44612,--,--,--,--,--,--
Axis Services Opportunities Dir,Direct,Thematic,45324,--,--,--,--,--,--
Axis Services Opportunities Reg,Regular,Thematic,45322,--,--,--,--,--,--
Axis Silver ETF,Regular,Thematic-PSU,42522,-1.01,0.99,1.18,41.37,55.09,2.54
Axis Silver ETF,Direct,Thematic-PSU,42522,-1.01,0.99,1.18,41.37,55.09,2.54
Axis Silver FoF Dir,Direct,Thematic-PSU,42525,4.96,0.82,1.34,34.59,52.31,3.26
Axis Silver FoF Reg,Regular,Thematic-PSU,42523,4.45,0.82,1.32,34.57,51.78,3.22
Axis Small Cap Dir,Direct,Small Cap,22335,2.30,0.73,0.87,14.52,18.77,1.17
Axis Small Cap Reg,Regular,Small Cap,22333,1.23,0.73,0.80,14.50,17.68,1.08
Axis Value Dir,Direct,Value Oriented,41696,6.49,1.01,1.33,13.25,23.76,1.88
Axis Value Reg,Regular,Value Oriented,41694,5.08,1.01,1.23,13.22,22.33,1.73
Bajaj Finserv Banking And Financial Services Dir,Direct,Sectoral-Auto,45563,--,--,--,--,--,--
Bajaj Finserv Banking And Financial Services Reg,Regular,Sectoral-Auto,45561,--,--,--,--,--,--
Bajaj Finserv Consumption Dir,Direct,Thematic-Infrastructure,44689,--,--,--,--,--,--
Bajaj Finserv Consumption Reg,Regular,Thematic-Infrastructure,44687,--,--,--,--,--,--
Bajaj Finserv ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),44856,--,--,--,--,--,--
Bajaj Finserv ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),44854,--,--,--,--,--,--
Bajaj Finserv Flexi Cap Dir,Direct,Flexi Cap,43653,--,--,--,--,--,--
Bajaj Finserv Flexi Cap Reg,Regular,Flexi Cap,43651,--,--,--,--,--,--
Bajaj Finserv Healthcare Dir,Direct,Sectoral-Pharma,44774,--,--,--,--,--,--
Bajaj Finserv Healthcare Reg,Regular,Sectoral-Pharma,44772,--,--,--,--,--,--
Bajaj Finserv Large and Mid Cap Dir,Direct,Large & Mid Cap,44118,--,--,--,--,--,--
Bajaj Finserv Large and Mid Cap Reg,Regular,Large & Mid Cap,44116,--,--,--,--,--,--
Bajaj Finserv Large Cap Dir,Direct,Large Cap,44455,--,--,--,--,--,--
Bajaj Finserv Large Cap Reg,Regular,Large Cap,44453,--,--,--,--,--,--
Bajaj Finserv Multi Cap Dir,Direct,Multi Cap,44918,--,--,--,--,--,--
Bajaj Finserv Multi Cap Reg,Regular,Multi Cap,44916,--,--,--,--,--,--
Bajaj Finserv Nifty 50 ETF,Regular,Large Cap,44066,--,--,--,--,--,--
Bajaj Finserv Nifty 50 ETF,Direct,Large Cap,44066,--,--,--,--,--,--
Bajaj Finserv Nifty 50 Index Dir,Direct,Large Cap,45133,--,--,--,--,--,--
Bajaj Finserv Nifty 50 Index Reg,Regular,Large Cap,45131,--,--,--,--,--,--
Bajaj Finserv Nifty Bank ETF,Regular,Sectoral-Auto,44067,--,--,--,--,--,--
Bajaj Finserv Nifty Bank ETF,Direct,Sectoral-Auto,44067,--,--,--,--,--,--
Bajaj Finserv Nifty Next 50 Index Dir,Direct,Large Cap,45113,--,--,--,--,--,--
Bajaj Finserv Nifty Next 50 Index Reg,Regular,Large Cap,45111,--,--,--,--,--,--
Bajaj Finserv Small Cap Dir,Direct,Small Cap,45271,--,--,--,--,--,--
Bajaj Finserv Small Cap Reg,Regular,Small Cap,45269,--,--,--,--,--,--
Bandhan BSE Healthcare Index Dir,Direct,Sectoral-Pharma,44512,--,--,--,--,--,--
Bandhan BSE Healthcare Index Reg,Regular,Sectoral-Pharma,44511,--,--,--,--,--,--
Bandhan BSE India Sector Leaders Index Dir,Direct,Thematic,45461,--,--,--,--,--,--
Bandhan BSE India Sector Leaders Index Reg,Regular,Thematic,45460,--,--,--,--,--,--
