Fund Name,Plan,Category,VR ID,Alpha,Beta,Sharpe,Standard Deviation,Mean Return,Sortino
Kotak Energy Opportunities Reg,Regular,Thematic-Dividend Yield,45064,--,--,--,--,--,--
Kotak ESG Exclusionary Strategy Dir,Direct,Thematic-ESG,41202,1.26,0.92,0.90,11.23,16.21,1.25
Kotak ESG Exclusionary Strategy Reg,Regular,Thematic-ESG,41200,-0.24,0.92,0.77,11.21,14.70,1.06
Kotak Flexicap Dir,Direct,Flexi Cap,17140,2.30,0.92,1.03,12.07,18.55,1.43
Kotak Flexicap Reg,Regular,Flexi Cap,10594,1.43,0.92,0.96,12.06,17.67,1.33
Kotak Focused Dir,Direct,Flexi Cap,40098,3.30,0.90,1.14,11.61,19.31,1.51
Kotak Focused Reg,Regular,Flexi Cap,40096,1.92,0.89,1.02,11.60,17.91,1.35
Kotak Global Emerging Market Overseas Equity Omni FoF Dir,Direct,International,17439,--,--,1.23,12.88,21.91,3.05
Kotak Global Emerging Market Overseas Equity Omni FoF Reg,Regular,International,5560,--,--,1.19,12.87,21.43,2.96
Kotak Global Innovation Overseas Equity Omni FoF Dir*,Direct,International,41595,--,--,1.04,14.50,21.18,1.37
Kotak Global Innovation Overseas Equity Omni FoF Reg*,Regular,International,41593,--,--,0.96,14.49,20.02,1.27
Kotak Healthcare Dir,Direct,Sectoral-Pharma,43896,--,--,--,--,--,--
Kotak Healthcare Reg,Regular,Sectoral-Pharma,43894,--,--,--,--,--,--
Kotak International REIT Overseas Equity Omni FoF Dir*,Direct,International,41237,--,--,0.18,15.30,8.83,0.33
Kotak International REIT Overseas Equity Omni FoF Reg*,Regular,International,41235,--,--,0.12,15.30,7.96,0.22
Kotak Large & Midcap Dir,Direct,Large & Mid Cap,16378,4.29,0.95,1.17,12.52,20.77,1.47
Kotak Large & Midcap Reg,Regular,Large & Mid Cap,2360,3.19,0.95,1.08,12.51,19.65,1.36
Kotak Large Cap Dir,Direct,Large Cap,16337,1.47,0.97,0.93,11.54,16.87,1.28
Kotak Large Cap Reg,Regular,Large Cap,577,0.30,0.97,0.83,11.53,15.69,1.14
Kotak Midcap Dir,Direct,Mid Cap,17134,1.22,0.90,1.07,15.21,22.33,1.32
Kotak Midcap Reg,Regular,Mid Cap,4270,0.14,0.90,1.00,15.19,21.23,1.23
Kotak MNC Dir,Direct,Thematic-Consumption,44579,--,--,--,--,--,--
Kotak MNC Reg,Regular,Thematic-Consumption,44577,--,--,--,--,--,--
Kotak MSCI India ETF,Regular,Large & Mid Cap,44952,--,--,--,--,--,--
Kotak MSCI India ETF,Direct,Large & Mid Cap,44952,--,--,--,--,--,--
Kotak Multi Factor Passive FoF Dir,Direct,Thematic,45899,N/A,N/A,N/A,N/A,N/A,N/A
Kotak Multi Factor Passive FoF Reg,Regular,Thematic,45898,N/A,N/A,N/A,N/A,N/A,N/A
Kotak Multicap Dir,Direct,Multi Cap,41707,5.73,1.02,1.24,15.09,24.75,1.51
Kotak Multicap Reg,Regular,Multi Cap,41705,4.42,1.01,1.15,15.07,23.43,1.41
Kotak Nifty 100 Equal Weight ETF,Regular,Large Cap,44953,--,--,--,--,--,--
Kotak Nifty 100 Equal Weight ETF,Direct,Large Cap,44953,--,--,--,--,--,--
Kotak Nifty 100 Equal Weight Index Dir,Direct,Large Cap,44796,--,--,--,--,--,--
Kotak Nifty 100 Equal Weight Index Reg,Regular,Large Cap,44794,--,--,--,--,--,--
Kotak Nifty 100 Low Volatility 30 ETF,Regular,Large Cap,42184,1.93,0.96,0.91,12.28,17.23,1.24
Kotak Nifty 100 Low Volatility 30 ETF,Direct,Large Cap,42184,1.93,0.96,0.91,12.28,17.23,1.24
Kotak Nifty 100 Low Volatility 30 Index Dir,Direct,Large Cap,44351,--,--,--,--,--,--
Kotak Nifty 100 Low Volatility 30 Index Reg,Regular,Large Cap,44349,--,--,--,--,--,--
Kotak Nifty 200 Momentum 30 ETF,Regular,Large & Mid Cap,45531,--,--,--,--,--,--
Kotak Nifty 200 Momentum 30 ETF,Direct,Large & Mid Cap,45531,--,--,--,--,--,--
Kotak Nifty 200 Momentum 30 Index Dir,Direct,Large & Mid Cap,43538,--,--,--,--,--,--
Kotak Nifty 200 Momentum 30 Index Reg,Regular,Large & Mid Cap,43536,--,--,--,--,--,--
Kotak Nifty 200 Quality 30 Index Dir,Direct,Large & Mid Cap,45258,--,--,--,--,--,--
Kotak Nifty 200 Quality 30 Index Reg,Regular,Large & Mid Cap,45256,--,--,--,--,--,--
Kotak Nifty 50 Equal Weight Index Dir,Direct,Large Cap,44800,--,--,--,--,--,--
Kotak Nifty 50 Equal Weight Index Reg,Regular,Large Cap,44798,--,--,--,--,--,--
Kotak Nifty 50 ETF,Regular,Large Cap,10843,-0.92,0.94,0.73,11.23,14.26,1.14
Kotak Nifty 50 ETF,Direct,Large Cap,10843,-0.92,0.94,0.73,11.23,14.26,1.14
Kotak Nifty 50 Index Dir,Direct,Large Cap,41517,-1.17,0.94,0.71,11.22,14.01,1.11
Kotak Nifty 50 Index Reg,Regular,Large Cap,41515,-1.47,0.94,0.68,11.22,13.71,1.07
Kotak Nifty 50 Value 20 ETF,Regular,Value Oriented,31271,-1.83,0.86,0.63,12.24,13.78,0.87
Kotak Nifty 50 Value 20 ETF,Direct,Value Oriented,31271,-1.83,0.86,0.63,12.24,13.78,0.87
Kotak Nifty Alpha 50 ETF,Regular,Flexi Cap,41896,3.16,1.43,0.92,20.71,25.08,1.17
Kotak Nifty Alpha 50 ETF,Direct,Flexi Cap,41896,3.16,1.43,0.92,20.71,25.08,1.17
Kotak Nifty Alpha 50 Index Dir,Direct,Flexi Cap,45402,--,--,--,--,--,--
Kotak Nifty Alpha 50 Index Reg,Regular,Flexi Cap,45400,--,--,--,--,--,--
Kotak Nifty Bank ETF,Regular,Sectoral-Auto,28873,-0.02,1.00,0.74,12.08,15.00,1.41
Kotak Nifty Bank ETF,Direct,Sectoral-Auto,28873,-0.02,1.00,0.74,12.08,15.00,1.41
Kotak Nifty Chemicals ETF,Regular,Thematic,45570,--,--,--,--,--,--
Kotak Nifty Chemicals ETF,Direct,Thematic,45570,--,--,--,--,--,--
Kotak Nifty Commodities Index Dir,Direct,Thematic,44991,--,--,--,--,--,--
Kotak Nifty Commodities Index Reg,Regular,Thematic,44989,--,--,--,--,--,--
Kotak Nifty Financial Services Ex-Bank Index Dir,Direct,Sectoral-Auto,43674,--,--,--,--,--,--
Kotak Nifty Financial Services Ex-Bank Index Reg,Regular,Sectoral-Auto,43672,--,--,--,--,--,--
Kotak NIFTY India Consumption ETF,Regular,Thematic-Infrastructure,42398,0.27,0.82,0.83,14.30,17.96,1.01
Kotak NIFTY India Consumption ETF,Direct,Thematic-Infrastructure,42398,0.27,0.82,0.83,14.30,17.96,1.01
Kotak Nifty India Tourism Index Dir,Direct,Thematic,44539,--,--,--,--,--,--
Kotak Nifty India Tourism Index Reg,Regular,Thematic,44537,--,--,--,--,--,--
Kotak Nifty IT ETF,Direct,Sectoral-Technology,41345,0.73,1.02,-0.02,22.41,5.61,-0.03
Kotak Nifty Midcap 150 ETF,Regular,Mid Cap,45037,--,--,--,--,--,--
Kotak Nifty Midcap 150 ETF,Direct,Mid Cap,45037,--,--,--,--,--,--
Kotak Nifty Midcap 150 Index Dir,Direct,Mid Cap,45040,--,--,--,--,--,--
Kotak Nifty Midcap 150 Index Reg,Regular,Mid Cap,45038,--,--,--,--,--,--
Kotak Nifty Midcap 150 Momentum 50 Index Dir,Direct,Mid Cap,44573,--,--,--,--,--,--
Kotak Nifty Midcap 150 Momentum 50 Index Reg,Regular,Mid Cap,44571,--,--,--,--,--,--
Kotak Nifty Midcap 50 ETF,Regular,Mid Cap,41983,1.57,1.03,1.13,16.57,24.79,1.54
Kotak Nifty Midcap 50 ETF,Direct,Mid Cap,41983,1.57,1.03,1.13,16.57,24.79,1.54
Kotak Nifty Midcap 50 Index Dir,Direct,Mid Cap,44446,--,--,--,--,--,--
Kotak Nifty Midcap 50 Index Reg,Regular,Mid Cap,44444,--,--,--,--,--,--
Kotak Nifty MNC ETF,Regular,Thematic-Consumption,42418,2.92,0.88,0.96,13.17,18.76,1.09
Kotak Nifty MNC ETF,Direct,Thematic-Consumption,42418,2.92,0.88,0.96,13.17,18.76,1.09
Kotak Nifty Next 50 ETF,Regular,Large Cap,45721,--,--,--,--,--,--
Kotak Nifty Next 50 ETF,Direct,Large Cap,45721,--,--,--,--,--,--
Kotak Nifty Next 50 Index Dir,Direct,Large Cap,41327,4.60,1.26,1.01,16.52,22.80,1.33
Kotak Nifty Next 50 Index Reg,Regular,Large Cap,41325,4.11,1.26,0.98,16.52,22.30,1.29
Kotak Nifty PSU Bank ETF,Regular,Sectoral-Auto,6157,20.37,1.07,1.30,23.07,36.05,2.63
Kotak Nifty PSU Bank ETF,Direct,Sectoral-Auto,6157,20.37,1.07,1.30,23.07,36.05,2.63
Kotak Nifty Smallcap 250 Index Dir,Direct,Small Cap,44868,--,--,--,--,--,--
Kotak Nifty Smallcap 250 Index Reg,Regular,Small Cap,44866,--,--,--,--,--,--
Kotak Nifty Smallcap 50 Index Dir,Direct,Small Cap,43357,--,--,--,--,--,--
Kotak Nifty Smallcap 50 Index Reg,Regular,Small Cap,43355,--,--,--,--,--,--
Kotak Nifty Top 10 Equal Weight Index Dir,Direct,Large Cap,45101,--,--,--,--,--,--
Kotak Nifty Top 10 Equal Weight Index Reg,Regular,Large Cap,45099,--,--,--,--,--,--
Kotak Nifty200 Quality 30 ETF,Regular,Large & Mid Cap,45255,--,--,--,--,--,--
Kotak Nifty200 Quality 30 ETF,Direct,Large & Mid Cap,45255,--,--,--,--,--,--
Kotak Nifty200 Value 30 Index Dir,Direct,Value Oriented,45763,--,--,--,--,--,--
Kotak Nifty200 Value 30 Index Reg,Regular,Value Oriented,45761,--,--,--,--,--,--
Kotak Nifty500 Momentum 50 Index Dir,Direct,Flexi Cap,45646,--,--,--,--,--,--
Kotak Nifty500 Momentum 50 Index Reg,Regular,Flexi Cap,45644,--,--,--,--,--,--
Kotak Quality Overseas Equity Omni FoF Dir,Direct,International,45906,N/A,N/A,N/A,N/A,N/A,N/A
Kotak Quality Overseas Equity Omni FoF Reg,Regular,International,45904,N/A,N/A,N/A,N/A,N/A,N/A
Kotak Rural Opportunities Dir,Direct,Thematic,45597,--,--,--,--,--,--
Kotak Rural Opportunities Reg,Regular,Thematic,45595,--,--,--,--,--,--
Kotak Services Dir,Direct,Thematic,45797,--,--,--,--,--,--
Kotak Services Reg,Regular,Thematic,45795,--,--,--,--,--,--
Kotak Silver ETF,Regular,Thematic-PSU,42858,-1.12,0.98,1.18,40.86,54.43,2.57
Kotak Silver ETF,Direct,Thematic-PSU,42858,-1.12,0.98,1.18,40.86,54.43,2.57
Kotak Silver ETF FoF Dir,Direct,Thematic-PSU,43295,--,--,--,--,--,--
Kotak Silver ETF FoF Reg,Regular,Thematic-PSU,43294,--,--,--,--,--,--
Kotak Small Cap Dir,Direct,Small Cap,16382,-1.31,0.85,0.63,17.12,16.80,0.90
Kotak Small Cap Reg,Regular,Small Cap,2597,-2.48,0.85,0.56,17.10,15.62,0.80
Kotak Special Opportunities Dir,Direct,Thematic,44382,--,--,--,--,--,--
Kotak Special Opportunities Reg,Regular,Thematic,44380,--,--,--,--,--,--
Kotak Technology Dir,Direct,Sectoral-Technology,44164,--,--,--,--,--,--
Kotak US Specific Equity Passive FoF Dir,Direct,International,41260,--,--,1.41,16.22,29.00,2.14
Kotak US Specific Equity Passive FoF Reg,Regular,International,41259,--,--,1.39,16.22,28.61,2.10
LIC MF Banking & Financial Services Dir,Direct,Sectoral-Auto,29707,0.13,0.97,0.69,12.71,14.90,1.72
LIC MF Banking & Financial Services Reg,Regular,Sectoral-Auto,29705,-1.36,0.97,0.58,12.70,13.42,1.45
LIC MF BSE Sensex ETF,Regular,Large Cap,31256,-2.56,0.92,0.57,11.05,12.42,0.93
LIC MF BSE Sensex ETF,Direct,Large Cap,31256,-2.56,0.92,0.57,11.05,12.42,0.93
LIC MF BSE Sensex Index Dir,Direct,Large Cap,16798,-2.93,0.92,0.54,11.04,12.05,0.87
LIC MF BSE Sensex Index Reg,Regular,Large Cap,1479,-3.55,0.92,0.48,11.03,11.41,0.78
LIC MF Children's Dir,Direct,Flexi Cap,17648,-3.99,0.93,0.48,12.94,12.35,0.53
LIC MF Children's Reg,Regular,Flexi Cap,1135,-4.70,0.93,0.43,12.93,11.63,0.47
LIC MF Consumption Dir,Direct,Thematic-Infrastructure,45568,--,--,--,--,--,--
LIC MF Consumption Reg,Regular,Thematic-Infrastructure,45566,--,--,--,--,--,--
LIC MF ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16868,0.27,0.90,0.84,12.21,16.31,1.19
LIC MF ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),405,-0.93,0.90,0.74,12.18,15.10,1.05
LIC MF Flexi Cap Dir,Direct,Flexi Cap,16756,-1.96,1.03,0.67,13.96,15.47,0.81
LIC MF Flexi Cap Reg,Regular,Flexi Cap,134,-2.89,1.02,0.60,13.95,14.53,0.73
LIC MF Focused Dir,Direct,Flexi Cap,34738,-4.56,0.99,0.47,13.41,12.44,0.64
LIC MF Focused Reg,Regular,Flexi Cap,34736,-5.49,0.99,0.40,13.40,11.50,0.55
LIC MF Healthcare Dir,Direct,Sectoral-Pharma,39051,-1.42,0.92,1.07,15.61,22.78,1.62
LIC MF Healthcare Reg,Regular,Sectoral-Pharma,39049,-2.66,0.92,0.99,15.60,21.52,1.50
LIC MF Large & Mid Cap Dir,Direct,Large & Mid Cap,29416,1.59,1.08,0.91,14.63,19.47,1.29
LIC MF Large & Mid Cap Reg,Regular,Large & Mid Cap,29414,0.28,1.08,0.82,14.61,18.15,1.17
LIC MF Large Cap Dir,Direct,Large Cap,16781,-2.16,1.03,0.63,12.38,13.85,0.86
LIC MF Large Cap Reg,Regular,Large Cap,158,-3.17,1.03,0.55,12.39,12.85,0.75
LIC MF Midcap Dir,Direct,Mid Cap,33333,-1.12,0.99,0.95,16.23,21.55,1.30
LIC MF Midcap Reg,Regular,Mid Cap,33331,-2.12,0.99,0.89,16.23,20.55,1.22
LIC MF Multi Cap Dir,Direct,Multi Cap,42629,2.87,1.00,1.03,15.10,21.68,1.34
LIC MF Multi Cap Reg,Regular,Multi Cap,42627,1.27,1.00,0.93,15.07,20.05,1.20
LIC MF Nifty 100 ETF,Regular,Large Cap,32018,-0.33,1.00,0.78,11.83,15.38,1.12
LIC MF Nifty 100 ETF,Direct,Large Cap,32018,-0.33,1.00,0.78,11.83,15.38,1.12
LIC MF Nifty 50 ETF,Regular,Large Cap,31217,-0.97,0.95,0.72,11.23,14.22,1.13
LIC MF Nifty 50 ETF,Direct,Large Cap,31217,-0.97,0.95,0.72,11.23,14.22,1.13
LIC MF Nifty 50 Index Dir,Direct,Large Cap,16763,-1.24,0.95,0.70,11.23,13.95,1.10
LIC MF Nifty 50 Index Reg,Regular,Large Cap,1478,-1.94,0.94,0.64,11.22,13.24,1.00
LIC MF Nifty Midcap 100 ETF,Regular,Mid Cap,44166,--,--,--,--,--,--
LIC MF Nifty Midcap 100 ETF,Direct,Mid Cap,44166,--,--,--,--,--,--
LIC MF Nifty Next 50 Index Dir,Direct,Large Cap,16528,4.43,1.26,1.00,16.53,22.63,1.32
LIC MF Nifty Next 50 Index Reg,Regular,Large Cap,11500,3.86,1.26,0.97,16.52,22.05,1.27
LIC MF Small Cap Dir,Direct,Small Cap,34272,-0.23,0.91,0.68,18.59,18.77,0.78
LIC MF Small Cap Reg,Regular,Small Cap,34270,-1.40,0.91,0.62,18.59,17.61,0.71
LIC MF Technology Dir,Direct,Sectoral-Technology,45855,N/A,N/A,N/A,N/A,N/A,N/A
LIC MF Value Dir,Direct,Value Oriented,37212,0.08,1.09,0.77,15.77,18.23,0.82
LIC MF Value Reg,Regular,Value Oriented,37210,-0.97,1.09,0.70,15.77,17.18,0.75
Mahindra Manulife Asia Pacific REITs FoF Dir,Direct,International,41762,--,--,0.12,15.42,8.01,0.22
Mahindra Manulife Asia Pacific REITs FoF Reg,Regular,International,41760,--,--,0.06,15.41,7.09,0.12
Mahindra Manulife Banking & Financial Services Dir,Direct,Sectoral-Auto,45279,--,--,--,--,--,--
Mahindra Manulife Banking & Financial Services Reg,Regular,Sectoral-Auto,45277,--,--,--,--,--,--
Mahindra Manulife Consumption Dir,Direct,Thematic-Infrastructure,37847,-0.83,0.82,0.79,13.75,16.91,0.92
Mahindra Manulife Consumption Reg,Regular,Thematic-Infrastructure,37845,-2.52,0.82,0.66,13.74,15.20,0.78
Mahindra Manulife ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),32895,-0.13,0.92,0.85,11.79,16.09,1.26
Mahindra Manulife ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),32893,-1.71,0.91,0.71,11.77,14.50,1.06
Mahindra Manulife Flexi Cap Dir,Direct,Flexi Cap,41633,1.58,0.94,0.99,12.06,18.03,1.40
Mahindra Manulife Flexi Cap Reg,Regular,Flexi Cap,41631,-0.10,0.93,0.85,12.04,16.33,1.20
Mahindra Manulife Focused Dir,Direct,Flexi Cap,41169,4.85,0.92,1.21,12.38,21.12,1.71
Mahindra Manulife Focused Reg,Regular,Flexi Cap,41167,3.20,0.92,1.08,12.36,19.46,1.52
Mahindra Manulife Large & Mid Cap Dir,Direct,Large & Mid Cap,40397,1.95,1.01,0.96,13.50,19.03,1.37
Mahindra Manulife Large & Mid Cap Reg,Regular,Large & Mid Cap,40395,0.40,1.01,0.84,13.48,17.46,1.20
Mahindra Manulife Large Cap Dir,Direct,Large Cap,39224,1.14,0.98,0.89,11.85,16.66,1.38
Mahindra Manulife Large Cap Reg,Regular,Large Cap,39222,-0.54,0.98,0.75,11.84,14.97,1.16
Mahindra Manulife Mid Cap Dir,Direct,Mid Cap,34956,3.63,0.95,1.28,15.23,25.60,1.69
Mahindra Manulife Mid Cap Reg,Regular,Mid Cap,34954,2.17,0.95,1.18,15.20,24.12,1.57
Mahindra Manulife Multi Cap Dir,Direct,Multi Cap,33986,4.03,0.95,1.13,14.33,22.23,1.55
Mahindra Manulife Multi Cap Reg,Regular,Multi Cap,33984,2.56,0.95,1.02,14.30,20.74,1.41
Mahindra Manulife Small Cap Dir,Direct,Small Cap,42799,5.87,0.90,1.05,17.88,24.79,1.42
Mahindra Manulife Small Cap Reg,Regular,Small Cap,42797,4.30,0.90,0.96,17.83,23.19,1.30
Mahindra Manulife Value Dir,Direct,Value Oriented,44934,--,--,--,--,--,--
Mahindra Manulife Value Reg,Regular,Value Oriented,44932,--,--,--,--,--,--
Mirae Asset Banking and Fin Srvcs Dir,Direct,Sectoral-Auto,41190,5.99,0.94,1.17,12.32,20.49,2.61
Mirae Asset Banking and Fin Srvcs Reg,Regular,Sectoral-Auto,41188,4.51,0.94,1.05,12.31,19.00,2.34
Mirae Asset BSE 200 Equal Weight ETF,Regular,Large & Mid Cap,45027,--,--,--,--,--,--
Mirae Asset BSE 200 Equal Weight ETF,Direct,Large & Mid Cap,45027,--,--,--,--,--,--
Mirae Asset BSE 200 Equal Weight ETF FoF Dir,Direct,Large & Mid Cap,45030,--,--,--,--,--,--
Mirae Asset BSE 200 Equal Weight ETF FoF Reg,Regular,Large & Mid Cap,45028,--,--,--,--,--,--
Mirae Asset BSE India Defence ETF,Regular,Thematic,45790,--,--,--,--,--,--
Mirae Asset BSE India Defence ETF,Direct,Thematic,45790,--,--,--,--,--,--
Mirae Asset BSE India Defence ETF FoF Dir,Direct,Thematic,45811,--,--,--,--,--,--
Mirae Asset BSE India Defence ETF FoF Reg,Regular,Thematic,45809,--,--,--,--,--,--
Mirae Asset BSE Select IPO ETF,Regular,Thematic,45020,--,--,--,--,--,--
Mirae Asset BSE Select IPO ETF,Direct,Thematic,45020,--,--,--,--,--,--
Mirae Asset BSE Select IPO ETF FoF Dir,Direct,Thematic,45023,--,--,--,--,--,--
Mirae Asset BSE Select IPO ETF FoF Reg,Regular,Thematic,45021,--,--,--,--,--,--
Mirae Asset BSE Sensex ETF,Regular,Large Cap,43803,--,--,--,--,--,--
Mirae Asset BSE Sensex ETF,Direct,Large Cap,43803,--,--,--,--,--,--
Mirae Asset Diversified Equity Allocator Passive FoF Dir,Direct,Large Cap,41121,0.90,1.02,0.88,12.20,16.85,1.21
Mirae Asset Diversified Equity Allocator Passive FoF Reg,Regular,Large Cap,41119,0.83,1.02,0.88,12.20,16.78,1.20
Mirae Asset ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),31318,1.53,0.98,0.99,12.49,18.41,1.38
Mirae Asset ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),31316,0.54,0.97,0.91,12.48,17.41,1.27
Mirae Asset Flexi Cap Dir,Direct,Flexi Cap,43134,1.66,0.94,1.00,12.07,18.13,1.35
Mirae Asset Flexi Cap Reg,Regular,Flexi Cap,43132,0.18,0.94,0.87,12.05,16.63,1.18
Mirae Asset Focused Dir,Direct,Flexi Cap,39823,-4.52,0.87,0.42,12.19,11.20,0.62
Mirae Asset Focused Reg,Regular,Flexi Cap,39821,-5.70,0.87,0.32,12.18,10.02,0.48
Mirae Asset Global Electric & Autonomous Vehicles Eqt Passive FoF Dir,Direct,International,42460,N/A,N/A,N/A,N/A,N/A,N/A
Mirae Asset Global Electric & Autonomous Vehicles Eqt Passive FoF Reg,Regular,International,42459,N/A,N/A,N/A,N/A,N/A,N/A
Mirae Asset Global X Artificial Intelligence & Tech ETF FoF Dir,Direct,International,42458,--,--,1.37,18.83,31.86,2.38
Mirae Asset Global X Artificial Intelligence & Tech ETF FoF Reg,Regular,International,42457,--,--,1.36,18.83,31.70,2.37
Mirae Asset Great Consumer Dir,Direct,Thematic-Infrastructure,16584,-0.86,0.89,0.78,15.05,17.87,0.95
Mirae Asset Great Consumer Reg,Regular,Thematic-Infrastructure,12342,-2.30,0.89,0.69,15.03,16.41,0.83
Mirae Asset Hang Seng TECH ETF,Regular,International,41876,--,--,0.35,34.65,18.09,0.73
Mirae Asset Hang Seng TECH ETF,Direct,International,41876,--,--,0.35,34.65,18.09,0.73
Mirae Asset Hang Seng TECH ETF FoF Dir,Direct,International,41878,--,--,0.54,32.96,23.81,1.45
Mirae Asset Hang Seng TECH ETF FoF Reg,Regular,International,41877,--,--,0.52,32.95,23.36,1.42
Mirae Asset Healthcare Dir,Direct,Sectoral-Pharma,36382,0.10,0.99,1.19,16.44,25.62,1.89
Mirae Asset Healthcare Reg,Regular,Sectoral-Pharma,36380,-1.37,0.99,1.10,16.42,24.13,1.75
Mirae Asset Large & Midcap Dir,Direct,Large & Mid Cap,16563,1.09,1.06,0.94,13.40,18.72,1.26
Mirae Asset Large & Midcap Reg,Regular,Large & Mid Cap,11213,0.15,1.06,0.87,13.39,17.77,1.17
Mirae Asset Large Cap Dir,Direct,Large Cap,16575,-0.39,0.92,0.77,11.11,14.60,1.12
Mirae Asset Large Cap Reg,Regular,Large Cap,6762,-1.37,0.92,0.68,11.10,13.61,0.99
Mirae Asset Midcap Dir,Direct,Mid Cap,40048,-0.32,0.98,1.02,15.76,22.11,1.31
Mirae Asset Midcap Reg,Regular,Mid Cap,40046,-1.42,0.98,0.95,15.75,21.00,1.22
Mirae Asset Multi Factor Passive FOF Dir,Direct,Thematic,45436,--,--,--,--,--,--
Mirae Asset Multi Factor Passive FOF Reg,Regular,Thematic,45434,--,--,--,--,--,--
Mirae Asset Multicap Dir,Direct,Multi Cap,43578,--,--,--,--,--,--
Mirae Asset Multicap Reg,Regular,Multi Cap,43576,--,--,--,--,--,--
Mirae Asset Nifty 100 ESG Sector Leaders ETF,Regular,Thematic-ESG,41157,-0.93,0.95,0.72,11.39,14.34,1.09
Mirae Asset Nifty 100 ESG Sector Leaders ETF,Direct,Thematic-ESG,41157,-0.93,0.95,0.72,11.39,14.34,1.09
Mirae Asset Nifty 100 ESG Sector Leaders FoF Dir,Direct,Thematic-ESG,41160,-1.11,0.96,0.71,11.44,14.17,1.07
Mirae Asset Nifty 100 ESG Sector Leaders FoF Reg,Regular,Thematic-ESG,41158,-1.49,0.95,0.67,11.43,13.79,1.02
Mirae Asset Nifty 100 Low Volatility 30 ETF,Regular,Large Cap,43284,--,--,--,--,--,--
Mirae Asset Nifty 100 Low Volatility 30 ETF,Direct,Large Cap,43284,--,--,--,--,--,--
Mirae Asset Nifty 200 Alpha 30 ETF,Regular,Large & Mid Cap,43817,--,--,--,--,--,--
Mirae Asset Nifty 200 Alpha 30 ETF,Direct,Large & Mid Cap,43817,--,--,--,--,--,--
Mirae Asset Nifty 200 Alpha 30 ETF FoF Dir,Direct,Large & Mid Cap,44400,--,--,--,--,--,--
Mirae Asset Nifty 200 Alpha 30 ETF FoF Reg,Regular,Large & Mid Cap,44398,--,--,--,--,--,--
Mirae Asset Nifty 50 ETF,Regular,Large Cap,38323,-0.90,0.95,0.73,11.23,14.29,1.14
Mirae Asset Nifty 50 ETF,Direct,Large Cap,38323,-0.90,0.95,0.73,11.23,14.29,1.14
Mirae Asset Nifty 50 Index Dir,Direct,Large Cap,44620,--,--,--,--,--,--
Mirae Asset Nifty 50 Index Reg,Regular,Large Cap,44618,--,--,--,--,--,--
Mirae Asset Nifty 500 Healthcare ETF,Regular,Sectoral-Pharma,45788,--,--,--,--,--,--
Mirae Asset Nifty 500 Healthcare ETF,Direct,Sectoral-Pharma,45788,--,--,--,--,--,--
Mirae Asset Nifty 500 Value 50 ETF,Regular,Value Oriented,45914,N/A,N/A,N/A,N/A,N/A,N/A
Mirae Asset Nifty 500 Value 50 ETF,Direct,Value Oriented,45914,N/A,N/A,N/A,N/A,N/A,N/A
Mirae Asset Nifty Bank ETF,Regular,Sectoral-Auto,43616,--,--,--,--,--,--
Mirae Asset Nifty Bank ETF,Direct,Sectoral-Auto,43616,--,--,--,--,--,--
Mirae Asset Nifty Energy ETF,Regular,Thematic-Dividend Yield,45587,--,--,--,--,--,--
Mirae Asset Nifty Energy ETF,Direct,Thematic-Dividend Yield,45587,--,--,--,--,--,--
Mirae Asset Nifty Financial Services ETF,Regular,Sectoral-Auto,41622,1.86,0.92,0.88,11.39,16.17,1.70
Mirae Asset Nifty Financial Services ETF,Direct,Sectoral-Auto,41622,1.86,0.92,0.88,11.39,16.17,1.70
Mirae Asset Nifty India Internet ETF,Regular,Thematic,45250,--,--,--,--,--,--
Mirae Asset Nifty India Internet ETF,Direct,Thematic,45250,--,--,--,--,--,--
Mirae Asset Nifty India New Age Consumption ETF,Regular,Thematic-Infrastructure,44832,--,--,--,--,--,--
Mirae Asset Nifty India New Age Consumption ETF,Direct,Thematic-Infrastructure,44832,--,--,--,--,--,--
Mirae Asset Nifty India New Age Consumption ETF FoF Dir,Direct,Thematic-Infrastructure,44835,--,--,--,--,--,--
Mirae Asset Nifty India New Age Consumption ETF FoF Reg,Regular,Thematic-Infrastructure,44833,--,--,--,--,--,--
Mirae Asset Nifty IT ETF,Direct,Sectoral-Technology,43832,--,--,--,--,--,--
Mirae Asset Nifty LargeMidcap 250 Index Dir,Direct,Large & Mid Cap,44624,--,--,--,--,--,--
Mirae Asset Nifty LargeMidcap 250 Index Reg,Regular,Large & Mid Cap,44622,--,--,--,--,--,--
Mirae Asset Nifty Metal ETF,Regular,Thematic,44588,--,--,--,--,--,--
Mirae Asset Nifty Metal ETF,Direct,Thematic,44588,--,--,--,--,--,--
Mirae Asset Nifty Metal ETF FoF Dir,Direct,Thematic,45833,--,--,--,--,--,--
Mirae Asset Nifty Metal ETF FoF Reg,Regular,Thematic,45831,--,--,--,--,--,--
Mirae Asset Nifty Midcap 150 ETF,Regular,Mid Cap,42146,0.95,0.99,1.11,15.66,23.54,1.48
